CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
20831821,CC1=C(CCO1)SC(=O)C,savory,158.04015056,1
20835508,C/C=C\C1=CC(=C(C=C1)OC(=O)CC2=CC=CC=C2)OC,savory;spices;flower,282.125594436,3
20836197,CC(/C(=C(/C)\C(=O)C)/C)C(C)(C)C,woody;flower,182.167065324,2
20836301,CC/C=C\CCOC(=O)C(CC)CC,green,198.161979944,1
20836345,CC/C=C\CCOC(CC)OC,aquatic;fruity;green,172.14632988,3
20837773,CC(=CC/C=C(/C)\CC=O)C,green,152.120115132,1
20838599,CC1=CC[C@H](CC1)C(C)(C)OC(=O)/C=C/C2=CC=CC=C2,flower,284.177630008,1
20839505,CCOC(C)OC1=C(C=C(C=C1)/C=C\C)OC,fruity;flower,236.1412445,2
20839647,CC/C=C\CCOC(=O)/C(=C/CC)/C,aquatic;fruity;green,196.14632988,3
20975449,CC=CC1=CCC(C=C1)OC,spices;herbal,150.104465068,2
20976953,CCC=CC=C=CC(=O)C,fruity;green,136.088815004,2
20981461,CCCCCCC=CC=C,herbal;green,138.140850576,2
20981955,CCCCCCC1C(O1)C=CC=O,aquatic,182.130679816,1
20981956,CCCC1C(O1)C=CC=O,aquatic,140.083729624,1
21115836,CC(C(=O)OCCC1=CC=CC=C1)O,aquatic;fruity;flower,194.094294308,3
21149427,CC1=CC[C@H](C1(C)C)CCOC(=O)C,herbal;fruity;flower,196.14632988,3
21156090,C1C=CC2C1C3CC2C(C3)OCC=O,flower;green;earthy,192.115029752,3
21156163,CC1C(CCC1(C)OC(=O)C)C(=C)C,herbal,196.14632988,1
21158617,C/C=C\CCCCC=O,aquatic;fruity;green,126.104465068,3
21159448,CCOC(=O)CC/C=C\CC=C,fruity,168.115029752,1
21159742,CCC/C=C\CCOC(=O)C,savory;fruity;green,156.115029752,3
