CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
7590,CCOC(=O)CC1=CC=CC=C1,animal;apricot;honey;fruit,164.083729624,4
7593,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,almond;fruit,210.104465068,2
7599,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,balsamic;honey;fruit;floral;rose,256.10994437200003,5
7600,CC(C)CCOC(=O)CC1=CC=CC=C1,animal;balsamic;musk;fruit,206.130679816,4
7601,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,floral;balsamic;musk;honey,240.115029752,4
7614,CC(C)CC(CC=C(C)C)OCC=O,apple;oil;rose;fruit,198.161979944,4
7632,CC(C)(CCC1=CC=CC=C1)O,lily;green;hyacinth;floral;oil;herb,164.120115132,6
7643,COC(=O)CCC1=CC=CC=C1,balsamic;honey;fruit;floral;wine,164.083729624,5
7644,COC(=O)C=CC1=CC=CC=C1,berry;balsamic;fruit,162.06807956,3
7646,CC(C)C(=O)OCC1=CC=CC=C1,floral;fruit,178.099379688,2
7649,CCOC(=O)C=CC1=CC=CC=C1,balsamic;honey;fruit;grape;orange,176.083729624,5
7650,CCCC(=O)OCC1=CC=CC=C1,floral;plum;fruit,178.099379688,3
7651,CC(C)CC(=O)OCC1=CC=CC=C1,herb;tobacco;musk;fruit,192.115029752,4
7652,C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2,floral;balsamic,238.099379688,2
7654,CC(=O)OCCC1=CC=CC=C1,green;honey;fruit;peach;leaf;rose,164.083729624,6
7655,CC(C)C(=O)OCCC1=CC=CC=C1,rose;fruit,192.115029752,2
7657,C1=CC=C(C=C1)COCC2=CC=CC=C2,almond,198.104465068,1
7658,CCCC(=O)OCCC1=CC=CC=C1,floral;rose;fruit,192.115029752,3
7659,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC=CC=C2,floral;balsamic;fruit,252.115029752,3
7660,CC(=O)OCC=CC1=CC=CC=C1,floral;balsamic;spice;fruit,176.083729624,4
7661,CCC(=O)OCC=CC1=CC=CC=C1,floral;balsamic;rose;fruit,190.099379688,4
7662,CC(C)C(=O)OCCCC1=CC=CC=C1,balsamic;fruit,206.130679816,2
7663,CC(C)C(=O)OCC=CC1=CC=CC=C1,plum;balsamic;banana;fruit,204.115029752,4
7664,CCCC(=O)OCC=CC1=CC=CC=C1,floral;balsamic;fruit,204.115029752,3
